선행 ARS ASW -> BSW Interface,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ver,ID,NO.,Component,ASW_RTE,Task,Return Type,Element Name,1st Parameter,2nd Parameter,3rd Parameter,Return,Write Data Type,Data Range,Unit,Init,Description,Note,Result
V0.00,,1,ASW → BSW,"TBD
(현재 초기값 사용하고 있음, 추후 dead time 설정하도록 변경할 필요 있음.)",-,,ShrHWIA_BswPwm_SetDeadTime(uint16 DeadTimeVal),deadtime tick. (1 tick= 0.01us),,,,uint16,"0, 65535",-,-,■ Pwm_SetDeadTime 기능은 deadTime 입력에 따라서 3상 PWM의 Dead time을 설정한다.,,
V0.00,,2,ASW → BSW,void Rte_IWrite_SWC_CddMotCtrl_ExtOut_PWM_PwmEn(UInt8 u),6.666us,,ShrHWIA_BswPwm_Enable(uint8 EnableVal),"#define PWM_DISABLE	   (0U)
#define PWM_ENABLE	   (1U)",,,,uint8,"0, 1",-,-,"■ Pwm_Enable 기능은 EnableFlg 입력에 따라서 3상 PWM 출력을 활성화/비활성화한다. 
- EnableFlg: 0  3상 High-side, Low-side PWM 출력 비활성화
- EnableFlg: 1  3상 High-side, Low-side PWM 출력 활성화",,
V0.08,,3,ASW → BSW,"TBD
(interlock 처리에 사용할 수 있음)",-,void,"ShrHWIA_BswPwm_ChOutEnable(uint8 PwmCh, uint8 PwmOutSt, uint16 PwmOutVal)","#define PWM_CH_U	   (0U)
#define PWM_CH_V	   (1U)
#define PWM_CH_W	   (2U)","#define PWM_OUT_EnableLow_DisableHigh	   (0U)
#define PWM_OUT_EnableHigh_DisableLow	   (1U)
#define PWM_OUT_DISABLEHighLow	   (2U)",PwmOutVal : On channel의 tick,,"uint8, uint8, uint16","0, 1, 65535",-,-,"■ Pwm_ChOutEnable 기능은 EnaU, EnaV, EnaW 입력에 따라서 U, V, W 상 High-side Switch와 Low-side Switch의 PWM 출력을 활성화, 비활성화한다.
- EnaU 입력이 0인 경우 U상 High-side PWM을 비활성화, Low-side PWM을 활성화한다.
- EnaU 입력이 1인 경우 U상 High-side PWM을 활성화, Low-side PWM을 비활성화한다.
- EnaU 입력이 2인 경우 U상 High-side PWM을 비활성화, Low-side PWM을 비활성화한다,
- EnaV 입력이 0인 경우 V상 High-side PWM을 비활성화, Low-side PWM을 활성화한다.
- EnaV 입력이 1인 경우 V상 High-side PWM을 활성화, Low-side PWM을 비활성화한다.
- EnaV 입력이 2인 경우 V상 High-side PWM을 비활성화, Low-side PWM을 비활성화한다,
- EnaW 입력이 0인 경우 W상 High-side PWM을 비활성화, Low-side PWM을 활성화한다.
- EnaW 입력이 1인 경우 W상 High-side PWM을 활성화, Low-side PWM을 비활성화한다.
- EnaW 입력이 2인 경우 W상 High-side PWM을 비활성화, Low-side PWM을 비활성화한다,",-,-
V0.12,,4,ASW → BSW,"TBD
(보호 로직 구현)",-,void,ShrHWIA_BswSys_McuReset,,,,,void,-,-,-,■ Mode_McuReset 기능을 호출하면 MCU를 SW Reset 시킨다.,-,-
V1.01,,5,ASW → BSW,"TBD
(시스템 제어)",-,void,"ShrHWIA_BswSys_SetTargetAxle(uint8 axle_type)","#define BSWSYS_TARGET_AXLE_UNDEFINED	(0U)
#define BSWSYS_TARGET_AXLE_FRONT		(1U)
#define BSWSYS_TARGET_AXLE_REAR			(2U)",,,,uint8,"0, 1, 2",-,0,"■ 타겟 액슬 설정 기능
- 0: 미정의 상태
- 1: 전륜(Front) 설정
- 2: 후륜(Rear) 설정","V1.01 신규 추가: 시스템 타겟 액슬 제어 기능",
V1.01,,6,ASW → BSW,"TBD
(시스템 셧다운)",-,void,ShrHWIA_BswSys_ShutdownRequest(void),,,,,void,-,-,-,"■ 시스템 셧다운 요청 기능
- IG OFF 상태에서 즉시 셧다운
- IG ON 상태에서는 무동작 (안전성)","V1.01 신규 추가: 시스템 셧다운 제어",
V0.10,,7,ASW → BSW,"TBD
(calibration)",-,uint8,"ShrHWIA_BswNvm_WriteBlock(uint8 index, uint8* data)","#define BSWNVM_BLOCK_INDEX_0		(0U)
#define BSWNVM_BLOCK_INDEX_1		(1U)
#define BSWNVM_BLOCK_INDEX_2		(2U)
#define BSWNVM_BLOCK_INDEX_3		(3U)",uint8* data,,,"uint8, uint8","uint8 : 0, 255
uint8 : 0, 255",-,-,■ NvM_EepWrite 기능은 identifier와 DataBufferPtr을 입력 받아서 DataBufferPtr을 저장한다.,"■ Use Case
result = Nvm_EepWrite(식별자1, &freezeframe0[0]);    // freezeframe0[0] : 10
result = Nvm_EepWrite(식별자2, &freezeframe1[0]);    // freezeframe1[0] : 20
result = Nvm_EepWrite(식별자3, &freezeframe2[0]);    // freezeframe2[0] : 30",
V1.01,,8,ASW → BSW,"Std_ReturnType Rte_Send_ExtOut_CAN_Tx_set_Caller_ARS_dev_01_10ms_Call(Double u)
Std_ReturnType Rte_Send_ExtOut_CAN_Tx_set_Caller_ARS_dev_02_1ms_Call(Double u)
Std_ReturnType Rte_Send_CanFD_Tx_Mgs_ARS_dev_03_10ms_set_call_CanFD_Tx_Mgs_ARS_dev_03_10ms_set_call (Double u)
Std_ReturnType Rte_Send_CanFD_Tx_Mgs_ARS_dev_04_10ms_set_call_CanFD_Tx_Mgs_ARS_dev_04_10ms_set_call(Double u)",,uint8,"ShrHWIA_BswCan_SetMsg(uint8 msg_index, uint8 dlc, uint8 *data)","#define BSWCAN_MSG_TX_INDEX_MEAS_01_1ms			(0U) //Tx 0x401
#define BSWCAN_MSG_TX_INDEX_MEAS_01_5ms			(1U) //Tx 0x402
#define BSWCAN_MSG_TX_INDEX_MEAS_02_5ms			(2U) //Tx 0x403
#define BSWCAN_MSG_TX_INDEX_MEAS_01_10ms		(3U) //Tx 0x404
#define BSWCAN_MSG_TX_INDEX_MEAS_02_10ms		(4U) //Tx 0x405
#define BSWCAN_MSG_TX_INDEX_ARS_dev_01_1ms		(5U) //Tx  Front: 0x21, Rear: 0x22",,,,uint8,,,,"V1.01 업데이트: CAN TX 메시지 인덱스 확장
- 기존 4개에서 6개로 확장
- MEAS 시리즈 추가 (0x401~0x405)
- ARS_dev 메시지 재정의 (Front/Rear별 ID)",
V1.01,,9,ASW → BSW,"TBD
(CAN 타임아웃 설정)",-,void,"ShrHWIA_BswCan_SetTimeoutMax(uint8 msg_index, uint32 timeout_max)","#define BSWCAN_MSG_RX_INDEX_MVPC_ARS_01_1ms		(0U)
#define BSWCAN_MSG_RX_INDEX_ROUTING_01_10ms		(1U)
#define BSWCAN_MSG_RX_INDEX_ROUTING_01_20ms		(2U)
#define BSWCAN_MSG_RX_INDEX_ROUTING_01_200ms	(3U)",timeout_max (ms),,"uint8, uint32","0~255, 0~4294967295",-,-,"■ CAN 메시지별 최대 타임아웃 설정
- msg_index: 메시지 인덱스
- timeout_max: 최대 타임아웃 값 (ms)","V1.01 신규 추가: CAN 타임아웃 동적 설정 기능",
V1.01,,10,ASW → BSW,"TBD
(CAN 채널 제어)",-,void,"ShrHWIA_BswCan_SetCh0CanDisable(uint8 disable)","#define CAN_CH0_ENABLE		(0U)
#define CAN_CH0_DISABLE		(1U)",,,,uint8,"0, 1",-,0,"■ CAN Channel 0 활성화/비활성화 제어
- 0: CAN CH0 송신 활성화
- 1: CAN CH0 송신 비활성화","V1.01 신규 추가: CAN CH0 송신 제어 기능",
