문서 정보,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
항목,내용,,,,,,,,,,,,,,,,
문서명,ARS_BSW-ASW_Interface_V1.01,,,,,,,,,,,,,,,,
버전,V1.01,,,,,,,,,,,,,,,,
작성일,2025-08-19,,,,,,,,,,,,,,,,
작성자,WIA 기술팀,,,,,,,,,,,,,,,,
승인자,TBD,,,,,,,,,,,,,,,,
문서 유형,Interface Specification,,,,,,,,,,,,,,,,
적용 제품,HWAR650V3KW,,,,,,,,,,,,,,,,
하드웨어 버전,Rev.3,,,,,,,,,,,,,,,,
소프트웨어 버전,V1.01,,,,,,,,,,,,,,,,
언어,한국어/영어,,,,,,,,,,,,,,,,
페이지 수,3 Sheets,,,,,,,,,,,,,,,,
보안 등급,Internal,,,,,,,,,,,,,,,,
배포 대상,"개발팀, 테스트팀",,,,,,,,,,,,,,,,
관련 문서,"BSW 설계서, ASW 설계서",,,,,,,,,,,,,,,,
변경 이력,V1.00 → V1.01: API 9개 추가,,,,,,,,,,,,,,,,
다음 버전 계획,V1.02: 데이터 구조체 정의 추가,,,,,,,,,,,,,,,,
키워드,"BSW, ASW, Interface, API, CAN, ADC, SENT",,,,,,,,,,,,,,,,
요약,BSW-ASW 간 인터페이스 정의 문서 (총 51개 API),,,,,,,,,,,,,,,,
