,sheet,name
3,01_IF_BSW->ASW,BSWADC_CH_SENS_CURR_DC
0,01_IF_BSW->ASW,BSWADC_CH_SENS_CURR_U
16,01_IF_BSW->ASW,BSWADC_CH_SENS_CURR_V
1,01_IF_BSW->ASW,BSWADC_CH_SENS_CURR_W
2,01_IF_BSW->ASW,BSWADC_CH_SENS_HV
7,01_IF_BSW->ASW,BSWADC_CH_SENS_IG
14,01_IF_BSW->ASW,BSWADC_CH_SENS_IPM_TEMP
6,01_IF_BSW->ASW,BSWADC_CH_SENS_LV
15,01_IF_BSW->ASW,BSWADC_CH_SENS_MOT_TEMP
13,01_IF_BSW->ASW,BSWADC_CH_SENS_PCB_TEMP
4,01_IF_BSW->ASW,BSWADC_CH_SENS_VDD_15V
5,01_IF_BSW->ASW,BSWADC_CH_SENS_VDD_5V0
9,01_IF_BSW->ASW,BSWADC_CH_VCOM_5V0
12,01_IF_BSW->ASW,BSWADC_CH_VREF_5V0
10,01_IF_BSW->ASW,BSWADC_CH_VT1_5V0
11,01_IF_BSW->ASW,BSWADC_CH_VT2_5V0
8,01_IF_BSW->ASW,BSWADC_CH_VUC_3V3
